Name,Latitude,Longitude,Description
Madara Island,33.5809925,129.7439687,"Punto di partenza - isola al largo di Karatsu, Mare di Genkai"
Genkai,33.51555,129.83748,"Kyushu Electric - 2 PWR attivi nel 1990 (U1 1975, U2 1981)"
Shimane,35.53823,133.00145,"Chugoku Electric - 2 BWR attivi nel 1990 (U1 1974, U2 1989)"
Takahama,35.52150,135.50673,"Kansai Electric - 4 PWR attivi nel 1990 (U1 1974, U2 1975, U3 e U4 1985)"
Ohi,35.53851,135.65340,"Kansai Electric - 2 PWR attivi nel 1990 (U1 e U2 1979)"
Mihama,35.70222,135.96390,"Kansai Electric - 3 PWR attivi nel 1990 (U1 1970, U2 1972, U3 1976)"
Fugen,35.75476,136.01654,"PNC - prototipo ATR 165 MW (1979)"
Tsuruga,35.75024,136.02107,"Japan Atomic Power - 1 BWR + 1 PWR attivi nel 1990 (U1 1970, U2 1987)"
Kashiwazaki-Kariwa,37.42833,138.60167,"TEPCO - 3 BWR attivi a fine 1990 (U1 1985, U5 apr 1990, U2 set 1990)"
